,artist,filename
0,Amedeo Modigliani,Amedeo_Modigliani_1.jpg
1,Amedeo Modigliani,Amedeo_Modigliani_10.jpg
2,Amedeo Modigliani,Amedeo_Modigliani_100.jpg
3,Amedeo Modigliani,Amedeo_Modigliani_101.jpg
4,Amedeo Modigliani,Amedeo_Modigliani_102.jpg
5,Amedeo Modigliani,Amedeo_Modigliani_103.jpg
6,Amedeo Modigliani,Amedeo_Modigliani_104.jpg
7,Amedeo Modigliani,Amedeo_Modigliani_105.jpg
8,Amedeo Modigliani,Amedeo_Modigliani_106.jpg
9,Amedeo Modigliani,Amedeo_Modigliani_107.jpg
10,Amedeo Modigliani,Amedeo_Modigliani_108.jpg
11,Amedeo Modigliani,Amedeo_Modigliani_109.jpg
12,Amedeo Modigliani,Amedeo_Modigliani_11.jpg
13,Amedeo Modigliani,Amedeo_Modigliani_110.jpg
14,Amedeo Modigliani,Amedeo_Modigliani_111.jpg
15,Amedeo Modigliani,Amedeo_Modigliani_112.jpg
16,Amedeo Modigliani,Amedeo_Modigliani_113.jpg
17,Amedeo Modigliani,Amedeo_Modigliani_114.jpg
18,Amedeo Modigliani,Amedeo_Modigliani_115.jpg
19,Amedeo Modigliani,Amedeo_Modigliani_116.jpg
20,Amedeo Modigliani,Amedeo_Modigliani_117.jpg
21,Amedeo Modigliani,Amedeo_Modigliani_118.jpg
22,Amedeo Modigliani,Amedeo_Modigliani_119.jpg
23,Amedeo Modigliani,Amedeo_Modigliani_12.jpg
24,Amedeo Modigliani,Amedeo_Modigliani_120.jpg
25,Amedeo Modigliani,Amedeo_Modigliani_121.jpg
26,Amedeo Modigliani,Amedeo_Modigliani_122.jpg
27,Amedeo Modigliani,Amedeo_Modigliani_123.jpg
28,Amedeo Modigliani,Amedeo_Modigliani_124.jpg
29,Amedeo Modigliani,Amedeo_Modigliani_125.jpg
30,Amedeo Modigliani,Amedeo_Modigliani_126.jpg
31,Amedeo Modigliani,Amedeo_Modigliani_127.jpg
32,Amedeo Modigliani,Amedeo_Modigliani_128.jpg
33,Amedeo Modigliani,Amedeo_Modigliani_129.jpg
34,Amedeo Modigliani,Amedeo_Modigliani_13.jpg
35,Amedeo Modigliani,Amedeo_Modigliani_130.jpg
36,Amedeo Modigliani,Amedeo_Modigliani_131.jpg
37,Amedeo Modigliani,Amedeo_Modigliani_132.jpg
38,Amedeo Modigliani,Amedeo_Modigliani_133.jpg
39,Amedeo Modigliani,Amedeo_Modigliani_134.jpg
40,Amedeo Modigliani,Amedeo_Modigliani_135.jpg
41,Amedeo Modigliani,Amedeo_Modigliani_136.jpg
42,Amedeo Modigliani,Amedeo_Modigliani_137.jpg
43,Amedeo Modigliani,Amedeo_Modigliani_138.jpg
44,Amedeo Modigliani,Amedeo_Modigliani_139.jpg
45,Amedeo Modigliani,Amedeo_Modigliani_14.jpg
46,Amedeo Modigliani,Amedeo_Modigliani_140.jpg
47,Amedeo Modigliani,Amedeo_Modigliani_141.jpg
48,Amedeo Modigliani,Amedeo_Modigliani_142.jpg
49,Amedeo Modigliani,Amedeo_Modigliani_143.jpg
50,Amedeo Modigliani,Amedeo_Modigliani_144.jpg
51,Amedeo Modigliani,Amedeo_Modigliani_145.jpg
52,Amedeo Modigliani,Amedeo_Modigliani_146.jpg
53,Amedeo Modigliani,Amedeo_Modigliani_147.jpg
